"","autor","fecha","tweet_id","texto"
"1","auronplay",2022-11-26 18:32:24,"1596572597319344129","@andresfcano ese vídeo es un montaje date cuenta amigo el real es el del cigarro"
"2","auronplay",2022-11-26 00:46:38,"1596304386078085121","@Javier_Ramirez9 escúchame babosa he sido educado contigo pero no es recíproco asume de una vez que Cristiano fuma cabeza de hormiga"
"3","auronplay",2022-11-26 00:37:20,"1596302048781570052","@Javier_Ramirez9 entiendo que es tu ídolo y te duele, por ejemplo mi ídolo es Ibai y sé que consume cocaína y a mí… https://t.co/M3wdcagnP8"
"4","auronplay",2022-11-26 00:31:28,"1596300568938545152","@Javier_Ramirez9 el vídeo es real acaso no ves como agarra un cigarro y se lo mete en la boca o estoy yo ciego??"
"5","auronplay",2022-11-25 21:49:35,"1596259830343294977","@raiderhd1 JAJAJAJAAA"
"6","auronplay",2022-11-25 21:47:47,"1596259378512158720","alguien sabe si esto es real???? La FIFA no piensa hacer nada?? en fin...... https://t.co/3SVZ4y8URq"
"7","auronplay",2022-11-25 14:16:38,"1596145842536460288","@TheGrefg borra una casa de esas es mía respeta la privacidad"
"8","auronplay",2022-11-23 16:45:35,"1595458549949382662","@JuanSGuarnizo @kajalnapalm"
"9","auronplay",2022-11-23 14:49:06,"1595429235572752389","@polispol correcto"
"10","auronplay",2022-11-22 23:21:29,"1595195794684088321","https://t.co/A6jGMH8kUg"
"11","auronplay",2022-11-22 16:45:06,"1595096042869071874","@Noniigamer Noni qué vas a hacer sin tortilla 😢"
"12","auronplay",2022-11-22 12:30:08,"1595031876900642820","@DjMaRiiO https://t.co/vWDjLEHayT"
"13","auronplay",2022-11-22 00:24:57,"1594849376995885058","@osirixplayer aún sigo mareado soy una mierda"
"14","auronplay",2022-11-21 22:09:59,"1594815413728288772","yo usando el VR  https://t.co/c2ehKHiWmo"
"15","auronplay",2022-11-20 00:35:34,"1594127273312911360","Yo soy el delantero que necesita DjMario para el partido de vuelta.
Fumo un paquete de tabaco al día, me da asco la… https://t.co/CoRMcUAc6O"
"16","auronplay",2022-11-19 23:59:02,"1594118079956619264","@DjMaRiiO https://t.co/91QR9JGONy"
"17","auronplay",2022-11-19 22:22:54,"1594093887051780099","@_biyin_ De repente he notado mucho frío, he ido a mirar si la ventana estaba abierta, pero estaba cerrada. Y he en… https://t.co/ocZSgIdlsR"
"18","auronplay",2022-11-19 22:04:14,"1594089192010780673","DJ PECHO FRÍO VERGA CALIENTE"
"19","auronplay",2022-11-19 21:36:56,"1594082319383416832","@ramsesFernand19 prefiero la cocaína"
"20","auronplay",2022-11-19 21:13:21,"1594076383671623680","@cancersebero pos na aki jeje"
"21","auronplay",2022-11-19 21:02:23,"1594073625585668096","@cancersebero ke te pasa"
"22","auronplay",2022-11-18 22:07:38,"1593727660655407104","Bartomeu vamos a por ti https://t.co/aFt8aPpmD3"
"23","auronplay",2022-11-18 00:56:59,"1593407889300938754","@llimoo @KingsLeague @3gerardpique @KosmosStudios @KosmosOfficial @IbaiLlanos @TheGrefg @IkerCasillas @OriolQF… https://t.co/JTiCL2qwMw"
"24","auronplay",2022-11-17 01:38:55,"1593056052836454401","@SpreenDMC invítame a tu tejado de mierda"
"25","auronplay",2022-11-17 01:29:16,"1593053625735335938","mensajes así me ayudan a seguir adelante en el mundo de las reacciones gracias a todos cada día mejorando!!… https://t.co/FtMndaV5Bj"
"26","auronplay",2022-11-16 18:35:03,"1592949385650139136","@DjMaRiiO trato hecho 😳"
"27","auronplay",2022-11-16 18:04:28,"1592941689140043776","@DjMaRiiO dame tu colonia o sufre las consecuencias"
"28","auronplay",2022-11-14 00:46:49,"1591955777941798912","@EiProfeta me lo voy a meter en el culo por supuesto"
"29","auronplay",2022-11-14 00:32:53,"1591952272048926720","mi código: BT716774"
"30","auronplay",2022-11-14 00:28:36,"1591951195794735104","TikTok now me cago en tu puta madre y en tus 7 euros de mierda"
"31","auronplay",2022-11-12 21:48:02,"1591548397722427394","@allentadita oye qué bonito 😍"
"32","auronplay",2022-11-11 00:02:21,"1590857425929658370","👀 https://t.co/OGYkL6MXK9"
"33","auronplay",2022-11-08 13:02:35,"1589966615625728001","@Budcat93 pero qué haces desgraciado jajaja"
"34","auronplay",2022-11-07 20:33:14,"1589717635121713152","@JuanSGuarnizo grandeeeeee juanitoooo 🙌"
"35","auronplay",2022-11-07 14:57:30,"1589633143799050241","@antonio_diaz65 felicidades Antonio sé feliz 💫"
"36","auronplay",2022-11-06 22:04:29,"1589378210180911105","@Vlauviz JAJAJAJA ban y vip"
"37","auronplay",2022-11-05 12:51:19,"1588876616003858433","@gerardromero @JijantesFC el mejor regalo que me han hecho en la vida te quiero"
"38","auronplay",2022-11-05 01:37:40,"1588707084547543041","@Tanizen he sido yo te pido perdón me he puesto nervioso"
"39","auronplay",2022-11-05 00:43:01,"1588693333287014400","@ElAlexQuackity tremenda hamburguesa q te estás tragando mi buen Felicidades por la tremenda hamburguesa q te estás tragando 👍"
"40","auronplay",2022-11-05 00:21:57,"1588688031829331969","Hoy es un día especial así que os regalo una foto pata mía espero que os guste https://t.co/DyoTwKzIxL"
"41","auronplay",2022-11-04 23:40:21,"1588677559897976833","Gracias por vuestras felicitaciones amigos. Ojalá pudiera hacer stream mañana pero tengo una grabación y si no voy… https://t.co/SwE7UZBWXy"
"42","auronplay",2022-11-04 22:31:20,"1588660193541648384","@josepo90oficial grande josepooooooooo qué buen trabajo! a la próxima que las haga otro y participas 👀"
"43","auronplay",2022-11-04 21:37:59,"1588646767314116608","Espectacular el primer @TwitchRivals de carreritas de GTAV, ha salido perfecto.
Enhorabuena a @MrKeroro10 por esa v… https://t.co/VipPgrwiWK"
"44","auronplay",2022-11-04 01:15:22,"1588339086057967616","no hombre no ha puesto un audio mío diciendo ""Piqué out"" era broma no te enfades jajaja

Piqué cuando se cruce conm… https://t.co/IdgLaRiPT7"
"45","auronplay",2022-11-03 22:27:57,"1588296953292787712","@MuyNaDa @CarrerasdeGTAV JAJAJAJQJAJAJAJAJAJA"
"46","auronplay",2022-11-03 22:15:41,"1588293868029517824","el compa que se cabrea jugando y tiene un micro de 3 euros:  https://t.co/FiqpYcf4wz"
"47","auronplay",2022-11-03 15:44:44,"1588195482182029312","@JuAmmpii_ no"
"48","auronplay",2022-11-03 15:37:59,"1588193783623159808","@TheGrefg fácil https://t.co/Dj40BH83k2"
"49","auronplay",2022-11-03 13:07:02,"1588155792280227840","@DaniRep di que estás enfermo y no puedes participar https://t.co/FHYgZfbMCT"
"50","auronplay",2022-11-02 15:36:14,"1587830953564639232","@elgatoES de camino a casa 💫"
"51","auronplay",2022-11-02 14:29:10,"1587814074997346305","@CarrerasdeGTAV @TheCarolos este tío va a venir borracho seguro exijo que se hagan controles de alcoholemia"
"52","auronplay",2022-11-02 01:40:06,"1587620535533453312","@Barbesito borra"
"53","auronplay",2022-11-02 01:37:31,"1587619883038244866","@IbaiLlanos pfff muy lejos qué pereza y si mejor me acaricias las tetas?"
"54","auronplay",2022-11-01 12:24:35,"1587420335963504641","pues nada feliz navidad https://t.co/3YLrfNG49V"
"55","auronplay",2022-10-31 23:11:57,"1587220864755433473","@nickibellakita @elonmusk explicaciones aquí"
"56","auronplay",2022-10-31 22:05:41,"1587204187930214401","@IbaiLlanos dale en la velada 4 nos damos de puñetazos"
"57","auronplay",2022-10-31 19:52:22,"1587170637772197888","@MrKeroro10 pero por qué siempre salen los mismos qué está pasandoooooooo"
"58","auronplay",2022-10-30 15:20:12,"1586739753193541634","@Noniigamer @CarrerasdeGTAV eres malísimo"
"59","auronplay",2022-10-30 13:43:33,"1586715431125278720","@PatodeAqualand le he dado a solicitar acceso y a los 2 minutos me ha llegado el email, es normal o soy el privis? contesta"
"60","auronplay",2022-10-30 13:29:17,"1586711841958682625","podríamos probar un ratillo el nuevo Outlast antes del evento de tortilla 🎃 https://t.co/PU8xDnUzTV"
"61","auronplay",2022-10-29 23:49:31,"1586505542482427904","ola abro hilo de los tiktoks más raros y randoms que hayas visto nunca empiezo yo https://t.co/L1BCdNdvEY"
"62","auronplay",2022-10-29 23:32:12,"1586501183811854342","@DonReborn2 https://t.co/LtJR7WZfEO"
"63","auronplay",2022-10-29 23:17:15,"1586497420716052480","@DonReborn2 https://t.co/YA5a0TyLQ7"
"64","auronplay",2022-10-29 23:14:33,"1586496739640414210","@irubplay yo"
"65","auronplay",2022-10-29 23:12:24,"1586496199347081219","@wishrry https://t.co/TqQ0S6ShD0"
"66","auronplay",2022-10-29 23:10:42,"1586495773276897280","@iLYAUR0N https://t.co/QZh7JXD9k5"
"67","auronplay",2022-10-29 22:58:02,"1586492586600017920","@auronscarface pasa enlace"
"68","auronplay",2022-10-29 22:51:45,"1586491001610420228","@AleIVCR Ale aún hay gente en el puente de los Saw los puedes sacar por favor? ya no es gracioso"
"69","auronplay",2022-10-29 22:50:43,"1586490742909943809","@AndresZenay Me parece una falta de respeto que auron odiando a todo la comunidad mexicana y diciendo que no va a l… https://t.co/kXJalcHDIG"
"70","auronplay",2022-10-29 22:42:31,"1586488681237401600","@lvsauron me parece lógico y normal 🕺🏽"
"71","auronplay",2022-10-29 22:38:29,"1586487664274206720","Luzu cabreado clip del año https://t.co/4uQP4vda4A"
"72","auronplay",2022-10-29 14:33:20,"1586365571217883136","@Rubiu5 NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO https://t.co/w9R8GNHIum"
"73","auronplay",2022-10-28 23:22:31,"1586136358766415872","@imantadotv chinga tu madre"
"74","auronplay",2022-10-26 03:33:21,"1585112318782111744","@SpreenDMC contesta a este tuit y te doy una ps5 jaja"
